SAMPLE_ID	mutations	cna	structural_variants
P-0035094-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035137-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035162-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035162-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035162-T05-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035162-T06-IM7	IMPACT505	IMPACT505	IMPACT505
P-0035162-T07-IM7	IMPACT505	IMPACT505	IMPACT505
P-0035162-T08-IM7	IMPACT505	IMPACT505	IMPACT505
P-0035181-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035181-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035226-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035324-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035324-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0035324-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035324-T04-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035349-T01-IH3	IMPACT-HEME-400	IMPACT-HEME-400	IMPACT-HEME-400
P-0035349-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035487-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035502-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035575-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035575-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0035575-T04-XS1	ACCESS129	ACCESS129	ACCESS129
P-0035733-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035733-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035733-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0035835-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035851-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035851-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0035889-T01-IH3	IMPACT-HEME-400	IMPACT-HEME-400	IMPACT-HEME-400
P-0036059-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036090-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036122-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036234-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036243-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036247-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036249-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036249-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036249-T04-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036264-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036477-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0036672-T01-IM6	IMPACT468	IMPACT468	IMPACT468
