SAMPLE_ID	mutations	cna	structural_variants
P-0044969-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0044969-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045005-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045119-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045169-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045169-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045184-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045184-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045184-T04-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045222-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045232-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045260-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045260-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045262-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045262-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045263-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045263-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045265-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045267-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045267-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045298-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045302-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045302-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045401-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045418-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045418-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045480-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045481-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045481-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045481-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045481-T04-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045481-T05-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045484-T01-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045484-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0045484-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0045557-T01-IM6	IMPACT468	IMPACT468	IMPACT468
